move_number,start_eval,end_eval,delta_eval,move_quality,time_per_move,accuracy_score,blunder_risk,flag1,flag2,flag3,last_elo,phase_Endgame,phase_Middlegame,phase_Opening
5,-0.38,1.86,2.24,Blunder,2.67,0.86,2.0,0,0,0,1178.1,False,False,True
6,1.86,1.86,-0.0,Perfect,0.56,6.0,0.04,1,0,0,1172.96,False,False,True
7,1.86,1.97,0.11,Perfect,1.27,6.0,0.11,0,0,0,1175.27,False,False,True
8,1.97,4.09,2.12,Blunder,2.54,1.71,1.89,1,0,0,1178.3,False,False,True
9,4.09,5.0,1.36,Blunder,3.0,3.04,0.91,0,0,0,1172.11,False,False,True
10,5.0,5.0,0.0,Perfect,1.66,6.0,0.24,0,0,0,1161.78,False,False,True
11,5.0,5.0,1.98,Blunder,5.04,1.56,1.54,1,0,0,1165.92,False,True,False
12,5.0,5.0,0.03,Perfect,4.53,6.0,0.05,0,1,0,1156.04,False,True,False
13,5.0,5.0,0.05,Perfect,4.51,6.0,0.39,0,0,0,1159.46,False,True,False
14,5.0,5.0,1.35,Blunder,2.6,3.25,1.0,0,1,0,1163.57,False,True,False
15,5.0,4.97,-0.03,Perfect,1.47,6.0,0.25,0,0,0,1155.06,False,True,False
16,4.97,5.0,0.03,Perfect,3.93,5.12,0.18,1,0,0,1160.36,False,True,False
17,5.0,4.99,-0.01,Perfect,1.79,6.0,0.37,0,0,0,1166.05,False,True,False
18,4.99,5.0,0.04,Perfect,2.22,4.57,0.13,0,0,0,1172.2,False,True,False
19,5.0,5.0,0.01,Perfect,4.85,5.28,0.05,0,0,0,1177.66,False,True,False
20,5.0,5.0,2.02,Blunder,7.0,2.26,1.85,1,0,0,1182.78,False,True,False
21,5.0,5.0,0.54,Inaccuracy,5.91,5.14,0.49,0,0,0,1173.7,False,True,False
22,5.0,5.0,0.05,Perfect,4.78,5.5,0.13,0,0,0,1169.42,False,True,False
23,5.0,5.0,2.03,Blunder,7.0,2.21,1.59,0,0,0,1174.68,False,True,False
24,5.0,5.0,0.27,Good,4.1,6.0,0.39,0,0,0,1167.2,False,True,False
25,5.0,4.99,-0.01,Perfect,2.05,5.85,0.1,0,0,0,1168.4,False,True,False
26,4.99,4.91,-0.08,Perfect,2.28,5.99,0.09,0,0,0,1172.32,False,True,False
27,4.91,5.0,0.3,Good,1.79,4.79,0.34,0,0,0,1177.57,False,True,False
28,5.0,5.0,0.77,Inaccuracy,1.84,4.41,0.41,0,1,0,1179.12,False,True,False
29,5.0,4.94,-0.06,Perfect,1.48,6.0,0.21,0,0,0,1175.96,False,True,False
30,4.94,4.92,-0.02,Perfect,2.58,6.0,0.19,0,0,0,1180.29,True,False,False
31,4.92,2.18,-2.74,Blunder,3.82,0.25,2.0,1,0,0,1186.03,True,False,False
32,2.18,2.13,-0.05,Perfect,3.01,5.47,0.37,1,1,0,1170.15,True,False,False
33,2.13,2.13,0.0,Perfect,1.77,5.15,0.12,0,0,0,1174.35,True,False,False
34,2.13,2.19,0.06,Perfect,0.68,5.87,0.2,0,0,0,1179.57,True,False,False
35,2.19,2.18,-0.01,Perfect,0.97,6.0,0.39,0,0,0,1184.95,True,False,False
36,2.18,0.12,-2.06,Blunder,1.97,1.71,1.52,0,0,0,1190.83,True,False,False
37,0.12,0.04,-0.08,Perfect,0.75,5.65,0.03,0,0,0,1182.33,True,False,False
38,0.04,0.18,0.15,Perfect,1.62,6.0,0.09,0,0,0,1187.95,True,False,False
39,0.18,0.15,-0.04,Perfect,2.97,5.67,0.17,0,0,0,1192.84,True,False,False
1,0.5,0.5,0.0,Perfect,2.13,6.0,0.21,0,0,0,1333.51,False,False,True
2,0.5,2.17,1.67,Blunder,0.78,2.54,1.43,0,0,0,1336.16,False,False,True
3,2.17,2.22,0.05,Perfect,2.07,6.0,0.19,0,0,0,1329.67,False,False,True
4,2.22,-0.01,-2.22,Blunder,1.05,0.35,1.91,0,0,0,1333.46,False,False,True
5,-0.01,-0.0,0.01,Perfect,2.1,5.65,0.18,0,0,0,1322.45,False,False,True
6,-0.0,0.31,0.31,Good,2.35,3.86,0.3,0,0,0,1325.48,False,False,True
7,0.31,0.12,-0.19,Perfect,0.56,5.47,0.18,0,0,0,1326.2,False,False,True
8,0.12,-0.21,-0.33,Good,0.59,5.28,0.32,0,0,0,1328.3,False,False,True
9,-0.21,-1.57,-1.35,Blunder,1.18,2.31,1.11,0,0,0,1329.66,False,False,True
10,-1.57,0.11,1.67,Blunder,2.41,2.02,1.2,0,0,0,1324.98,False,False,True
11,0.11,0.16,0.05,Perfect,1.62,5.81,0.02,0,0,0,1320.89,False,True,False
12,0.16,0.07,-0.09,Perfect,4.5,5.57,0.04,0,0,0,1323.79,False,True,False
13,0.07,0.03,-0.04,Perfect,3.21,5.92,0.37,0,1,0,1327.74,False,True,False
14,0.03,-0.7,-0.73,Inaccuracy,1.73,4.77,0.45,0,0,0,1331.14,False,True,False
15,-0.7,-0.74,-0.04,Perfect,3.01,5.95,0.38,0,0,0,1328.77,False,True,False
16,-0.74,-0.71,0.03,Perfect,3.86,4.81,0.04,0,0,0,1332.41,False,True,False
17,-0.71,-0.46,0.25,Good,3.79,5.54,0.33,1,0,0,1336.31,False,True,False
18,-0.46,1.9,2.36,Blunder,2.88,2.02,2.0,0,1,0,1337.22,False,True,False
19,1.9,4.38,2.48,Blunder,4.21,0.97,2.0,1,0,0,1333.11,False,True,False
20,4.38,5.0,1.93,Blunder,4.11,2.29,1.44,0,1,0,1328.73,False,True,False
21,5.0,5.0,0.74,Inaccuracy,2.35,5.37,0.32,0,1,0,1319.14,False,True,False
22,5.0,5.0,0.02,Perfect,1.47,5.63,0.34,0,0,0,1315.15,False,True,False
23,5.0,5.0,0.48,Good,2.77,5.04,0.22,0,0,0,1319.84,False,True,False
24,5.0,2.54,-2.46,Blunder,7.0,1.44,2.0,0,0,0,1321.86,False,True,False
25,2.54,0.14,-2.4,Blunder,5.73,1.18,1.92,1,0,0,1312.5,False,True,False
26,0.14,0.23,0.09,Perfect,2.19,6.0,0.17,0,0,0,1302.47,False,True,False
27,0.23,-1.39,-1.62,Blunder,4.97,2.9,1.14,0,0,0,1305.32,False,True,False
28,-1.39,-1.35,0.05,Perfect,3.65,5.68,0.25,0,0,0,1300.59,False,True,False
29,-1.35,-1.65,-0.31,Good,4.94,6.0,0.27,0,0,0,1303.23,False,True,False
30,-1.65,-0.23,1.43,Blunder,4.46,3.45,1.18,1,1,0,1304.23,False,True,False
31,-0.23,-0.22,0.01,Perfect,2.48,5.86,0.03,0,0,0,1300.13,False,True,False
32,-0.22,-0.6,-0.38,Good,4.54,6.0,0.27,0,0,0,1302.77,False,True,False
33,-0.6,-0.12,0.48,Good,4.79,6.0,0.14,0,0,0,1303.91,False,True,False
34,-0.12,-0.47,-0.35,Good,5.95,5.09,0.37,1,0,0,1305.08,False,True,False
35,-0.47,-0.42,0.05,Perfect,4.64,5.38,0.03,0,0,0,1305.83,False,True,False
36,-0.42,-0.36,0.06,Perfect,1.82,5.71,0.11,0,0,0,1307.89,False,True,False
37,-0.36,-0.41,-0.05,Perfect,3.84,6.0,0.14,0,0,0,1310.0,True,False,False
38,-0.41,-0.4,0.01,Perfect,1.41,5.56,0.06,0,0,0,1313.42,True,False,False
39,-0.4,-0.44,-0.04,Perfect,3.08,6.0,0.4,1,0,0,1318.43,True,False,False
40,-0.44,1.23,1.67,Blunder,3.56,2.63,1.21,1,1,0,1323.15,True,False,False
41,1.23,0.91,-0.32,Good,4.62,5.06,0.26,0,1,0,1306.97,True,False,False
42,0.91,0.92,0.02,Perfect,1.12,5.68,0.08,0,0,0,1308.52,True,False,False
43,0.92,-0.91,-1.84,Blunder,1.59,2.61,1.59,0,0,0,1312.4,True,False,False
44,-0.91,0.86,1.78,Blunder,2.79,2.47,1.24,0,0,0,1303.02,True,False,False
45,0.86,1.03,0.17,Perfect,1.12,4.34,0.07,0,1,0,1291.2,True,False,False
46,1.03,1.01,-0.01,Perfect,0.99,5.01,0.27,0,0,0,1296.59,True,False,False
47,1.01,-1.05,-2.06,Blunder,1.07,1.72,1.55,0,0,0,1300.43,True,False,False
48,-1.05,-1.06,-0.01,Perfect,0.39,5.4,0.15,0,0,0,1287.83,True,False,False
49,-1.06,-1.17,-0.11,Perfect,0.77,6.0,0.39,0,0,0,1292.68,True,False,False
1,-0.63,0.15,0.79,Inaccuracy,1.46,4.79,0.68,1,0,0,431.3,False,False,True
2,0.15,0.23,0.08,Perfect,0.7,6.0,0.31,0,0,0,428.42,False,False,True
3,0.23,-0.15,-0.38,Good,1.14,4.8,0.3,0,0,0,431.41,False,False,True
4,-0.15,-0.21,-0.06,Perfect,2.07,5.56,0.18,0,0,0,432.69,False,False,True
5,-0.21,-0.15,0.06,Perfect,1.59,6.0,0.32,0,1,0,436.18,False,False,True
6,-0.15,-0.18,-0.03,Perfect,1.45,5.43,0.16,1,0,0,438.58,False,False,True
7,-0.18,-0.15,0.03,Perfect,1.96,6.0,0.02,0,1,0,442.03,False,False,True
8,-0.15,-2.68,-2.53,Blunder,1.88,0.0,2.0,0,0,0,445.06,False,False,True
9,-2.68,-2.64,0.04,Perfect,0.39,6.0,0.34,0,0,0,438.42,False,False,True
10,-2.64,-2.65,-0.01,Perfect,2.16,6.0,0.26,0,0,0,442.77,False,False,True
11,-2.65,-2.59,0.06,Perfect,2.03,5.41,0.38,0,0,0,447.13,False,True,False
12,-2.59,-1.21,1.38,Blunder,7.0,4.07,1.21,0,0,0,452.53,False,True,False
13,-1.21,-1.34,-0.13,Perfect,3.85,5.57,0.28,0,1,0,444.41,False,True,False
14,-1.34,-0.96,0.38,Good,4.05,5.33,0.03,1,0,0,446.55,False,True,False
15,-0.96,-0.94,0.03,Perfect,1.76,6.0,0.35,0,0,0,447.54,False,True,False
16,-0.94,-3.41,-2.48,Blunder,3.29,0.2,1.93,0,1,0,450.02,False,True,False
17,-3.41,-4.26,-0.85,Inaccuracy,5.1,5.0,0.79,0,0,0,443.65,False,True,False
18,-4.26,-4.36,-0.1,Perfect,5.29,6.0,0.15,1,0,0,438.85,False,True,False
19,-4.36,-4.32,0.04,Perfect,3.07,6.0,0.03,0,0,0,442.48,True,False,False
